id,artist,title,play_count
52,Linkin Park,Bleed It Out [Live At Milton Keynes],96692
53,3 Doors Down,Kryptonite,94900
54,Natiruts,Jamaica Roots II(Agora E Sempre),94502
55,Florence + The Machine,Cosmic Love,94002
56,The Ruts,West One (Shine On Me),93981
57,Beyoncé,Halo,91461
58,Evanescence,Bring Me To Life,91448
59,Panic At The Disco,Behind The Sea [Live In Chicago],89974
60,Taylor Swift,Love Story,89589
61,Base Ball Bear,Sayonara-Nostalgia,89187
62,Cradle Of Filth,Better To Reign In Hell,88075
63,John Mayer,Heartbreak Warfare,87745
64,B.o.B,Nothin' On You [feat. Bruno Mars] (Album Version),87366
65,Muse,Uprising,87050
66,Modest Mouse,Float On,85079
67,Southside Spinners,Luvstruck,84225
68,Coldplay,Fix You,84155
69,Bon Jovi,Livin' On A Prayer,83616
70,Florence + The Machine,You've Got The Love,83255
71,California Swag District,Teach Me How To Dougie,82819
72,OneRepublic,All The Right Moves,81736
73,The Black Keys,Tighten Up,81179
74,The Killers,When You Were Young,80357
75,Kid Cudi Vs Crookers,Day 'N' Nite,79974
76,Miley Cyrus,Party In The U.S.A.,78443
77,The Verve,Bitter Sweet Symphony,76893
78,The Buggles,Video Killed The Radio Star,76811
79,Muse,Supermassive Black Hole (Twilight Soundtrack Version),75669
80,Jacky Terrasson,Le Jardin d'Hiver,75540
81,Rise Against,Savior,74654
82,Eminem,Mockingbird,74103
83,The Script,Breakeven,73067
84,Simon Harris,Sample Track 2,72666
85,Beastie Boys,The Maestro,72381
86,DJ Dizzy,Sexy Bitch,72259
87,3 Doors Down,Here Without You,72151
88,MGMT,Electric Feel,70648
89,The White Stripes,Seven Nation Army,70470
90,White Denim,Transparency,69679
91,Katy Perry,I Kissed A Girl,69458
92,Jason Derulo,Whatcha Say,69053
93,Shania Twain,Nah!,68150
94,Alceu Valença,Recado Falado (Metrô Da Saudade),67748
95,Band Of Horses,The Funeral (Album Version),67403
96,Sean Kingston and Justin Bieber,Eenie Meenie,66998
97,Plain White T's,Hey There Delilah,66852
98,John Mayer,Half Of My Heart,65966
99,Eagles,Hotel California,65585
100,Taylor Swift,You Belong With Me,65582
101,Thursday,Voices On A String (Album Version),64374
102,Cage The Elephant,Ain't No Rest For The Wicked (Original Version),64264
103,Linkin Park,In The End (Album Version),64000
104,Deadmau5,Ghosts 'n' Stuff (Original Instrumental Mix),63951
105,Owl City,Vanilla Twilight,63937
106,Eminem,Without Me,63918
107,Drake / Kanye West / Lil Wayne / Eminem,Forever,63860
108,Daft Punk,Harder Better Faster Stronger,63170
109,Alliance Ethnik,Creil City,62604
110,Black Eyed Peas,Imma Be,62438
111,Justin Bieber,U Smile,61568
112,Kid Cudi / Kanye West / Common,Make Her Say,61544
113,Guns N' Roses,Paradise City,60787
114,Kid Cudi,Up Up & Away,59810
115,The All-American Rejects,Gives You Hell,59295
116,Bon Jovi,It's My Life,58956
117,Clara Hill,Clara meets Slope - Hard To Say,58887
118,Olivia Newton-John,Hochmah (Interlude),58694
119,The Postal Service,Such Great Heights,58059
120,Adam Lambert,If I Had You,57602
121,Colossal,Brave The Elements,57320
122,The Prodigy,The Big Gundown,57178
123,DJ Khaled,All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross),57023
124,Jimmy Eat World,The Middle,56992
125,MGMT,Time To Pretend,56458
126,Florence + The Machine,Kiss With A Fist,55921
127,Evanescence,My Immortal (Album Version),55655
128,Kanye West,Stronger,54746
129,Nickelback,How You Remind Me,54208
130,Fisher,Rianna,54194
131,Ramones,I Wanna Be Sedated (Remastered Album Version ),54173
132,Justin Bieber,Never Let You Go,54149
133,Eminem,The Real Slim Shady,52841
134,N.E.R.D.,Rock Star,52834
135,Philippe Rochard,Crumpshit,52691
136,Ice Cube,It Was A Good Day,52472
137,Usher Featuring Lil' Jon & Ludacris,Yeah!,51755
138,Counting Crows,Mr. Jones,51287
139,Postal Service,Nothing Better (Album),51280
140,Justin Bieber,One Time,51106
141,Passion Pit,Sleepyhead,51084
142,Justin Bieber,Love Me,50925
143,M.I.A.,Paper Planes,50763
144,Rihanna,Take A Bow,50155
145,Cosmo Vitelli,Robot Soul (Radio Edit),50099
146,Bon Iver,Skinny Love,49649
147,Jack Johnson,Bubble Toes,49597
148,Another Sunny Day,Rio,49126
149,Justin Bieber,That Should Be Me,49119
150,Two Door Cinema Club,What You Know,49030
151,Old 97's,Victoria (LP Version),48893
152,Leona Lewis,Forgive Me,48575
153,Reality Check,Masquerade (Reality Check Album Version),48393
154,Florence + The Machine,Rabbit Heart (Raise It Up),48042
155,David Bowie,Sorrow (1997 Digital Remaster),47785
156,LU,Una Confusion,47603
157,Justin Timberlake,What Goes Around...Comes Around,47453
158,Johnny Winter,It's My Own Fault,47210
159,Radiohead,Karma Police,46809
160,Linkin Park,What I've Done (Album Version),45817
161,The Lonely Island / T-Pain,I'm On A Boat,45575
162,Adam Lambert,Whataya Want From Me,45558
163,Eminem / Dina Rae,Superman,45328
164,Aerosmith,Dream On,45199
165,Pearl Jam,Black,45151
166,Muse,Resistance,44340
167,Eminem / Nate Dogg,'Till I Collapse,44305
168,Mickie Krause,Orange Trägt Nur Die Müllabfuhr (Go West),44250
169,The String Cheese Incident,Bigger Isn't Better,43748
170,Vampire Weekend,A-Punk (Album),43640
171,Erin Bode,Here_ There And Everywhere,43298
172,Jack Johnson,Do You Remember,43280
173,Yeah Yeah Yeahs,Heads Will Roll,43255
174,Coldplay,Shiver,43055
175,Pandora's Box,The Want Ad,42819
176,Britney Spears,Toxic,42692
177,Jack Johnson,Times Like These,42634
178,Sheryl Crow,Picture,42563
179,LMFAO / Lil Jon,Shots,42429
180,Foo Fighters,Everlong,42427
181,Five Finger Death Punch,Bad Company,42348
182,Metric,Help I'm Alive,42230
183,matchbox twenty,Unwell (Album Version),42183
184,Lynyrd Skynyrd,Sweet home Alabama,42059
185,Foo Fighters,The Pretender,42054
186,Charlie Louvin,I Think I'll Live,42022
187,Nickelback,Far Away (Album Version),41827
188,Asia 2001,Epilogue,41816
189,Coldplay,Speed Of Sound,41493
190,Restiform Bodies,Interactive Halloween Bear,41471
191,Coldplay,In My Place,41433
192,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),41301
193,Black Eyed Peas,Pump It,41243
194,Queen,Under Pressure,40935
195,The Gerbils,(iii),40772
196,Linkin Park,Crawling (Album Version),40739
197,O'Rosko Raricim,Terre Promise,40679
198,Rihanna,Te Amo,40660
199,Justin Timberlake,Cry Me A River,40572
200,Taylor Swift,Our Song,40506
201,The Black Keys,Howlin For You,40487
202,Guns N' Roses,Don't Cry (Original),40480
203,Rihanna,Don't Stop The Music,40170
204,Florence + The Machine,I'm Not Calling You A Liar,40082
205,Tiny Vipers,They Might Follow You,40072
206,Young Money featuring Lloyd,BedRock (Radio Edit) (feat.Lloyd),39976
207,Justin Bieber,One Less Lonely Girl,39778
208,A Day To Remember,If It Means A Lot To You,39775
209,59 Times the Pain,Found Home,39503
210,Death Cab for Cutie,I Will Follow You into the Dark (Album Version),39465
211,Jag Panzer,Reign Of The Tyrants,39226
212,Gang Starr/Inspectah Deck,Above The Clouds (Edited),39140
213,Alejandro Sanz,Non E_ Per Te_ Per Me,38985
214,Ry Cooder,Corrido de Boxeo,38773
215,Diam's,Dans Ma Bulle (Edit Radio - Live 2006),38731
216,Disturbed,Numb (Album Version),38639
217,Amy Winehouse,You Know I'm No Good,38577
218,Radney Foster,Sweet And Wild,38515
219,Survivor,Eye Of The Tiger,38371
220,The Velvet Underground / Nico,All Tomorrow's Parties,38273
221,Enigma,Knocking On Forbidden Doors,38132
222,Lady GaGa,Monster,37957
223,Sonny Boy Williamson,Don't Start Me Talkin',37942
224,Nirvana,Come As You Are,37653
225,Franz Ferdinand,Take Me Out,37541
226,Cameo,Word Up!,37341
227,Enrique Iglesias,Hero,37332
228,Shaggy / Samantha Cole,Luv Me_ Luv Me,37302
229,Metallica / Marianne Faithfull,The Memory Remains,37283
230,Eminem,My Name Is,37130
231,Cat Stevens,Wild World,37110
232,Alicia Keys,If I Ain't Got You,36969
233,Green Day,American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version),36675
234,Line Renaud,Le Soir,36423
235,Cliff Richard & The Shadows,Nine Times Out Of Ten (1998 Digital Remaster),36035
236,Maná,Rayando el sol,35925
237,Daft Punk,Around The World (Radio Edit),35885
238,Metallica,Ride The Lightning,35713
239,Cartola,Sala De Recepção,35629
240,My Chemical Romance,Welcome To The Black Parade (Album Version),35603
241,The Killers,Human,35453
242,New Radicals,You Get What You Give,35408
243,Benny Benassi Presents The Biz,Satisfaction,35404
244,Godsmack,Speak,35380
245,Triple Six Mafia,Now I'm High_ Really High,35253
246,The Red Jumpsuit Apparatus,Face Down (Album Version),35245
247,Linkin Park,New Divide (Album Version),35191
248,Selena Gomez & The Scene,Naturally,35074
249,Creedence Clearwater Revival,Have You Ever Seen The Rain,34831
